Cosmology WMAP:,  71, 0.27, 0.73, 0.
      z,       DA (Mpc)
      0.0605,  237.8852
      0.0606,  238.2492
      0.0607,  238.6221
      0.0608,  238.9859
      0.0609,  239.3495
      0.0610,  239.7130
      0.0611,  240.0764
      0.0612,  240.4485
      0.0613,  240.8116
      0.0614,  241.1745
      0.0615,  241.5374
      0.0616,  241.9089
      0.0617,  242.2714
      0.0618,  242.6338
      0.0619,  242.9960
      0.0620,  243.3670
      0.0621,  243.7289
      0.0622,  244.0908
      0.0623,  244.4613
      0.0624,  244.8228
      0.0625,  245.1842
      0.0626,  245.5455
      0.0627,  245.9154
      0.0628,  246.2764
      0.0629,  246.6373
      0.0630,  247.0068
      0.0631,  247.3673
      0.0632,  247.7277
      0.0633,  248.0968
      0.0634,  248.4569
      0.0635,  248.8258
      0.0636,  249.1857
      0.0637,  249.5454
      0.0638,  249.9138
      0.0639,  250.2732
      0.0640,  250.6324
      0.0641,  251.0004
      0.0642,  251.3594
      0.0643,  251.7271
      0.0644,  252.0859
      0.0645,  252.4533
      0.0646,  252.8117
      0.0647,  253.1700
      0.0648,  253.5370
      0.0649,  253.8950
      0.0650,  254.2617
      0.0651,  254.6195
      0.0652,  254.9859
      0.0653,  255.3434
      0.0654,  255.7095
      0.0655,  256.0667
      0.0656,  256.4325
      0.0657,  256.7894
      0.0658,  257.1550
      0.0659,  257.5117
      0.0660,  257.8770
      0.0661,  258.2333
      0.0662,  258.5983
      0.0663,  258.9543
      0.0664,  259.3191
      0.0665,  259.6749
      0.0666,  260.0393
      0.0667,  260.4037
      0.0668,  260.7590
      0.0669,  261.1230
      0.0670,  261.4781
      0.0671,  261.8419
      0.0672,  262.2055
      0.0673,  262.5602
      0.0674,  262.9235
      0.0675,  263.2779
      0.0676,  263.6410
      0.0677,  264.0039
      0.0678,  264.3578
      0.0679,  264.7205
      0.0680,  265.0830
      0.0681,  265.4366
      0.0682,  265.7988
      0.0683,  266.1608
      0.0684,  266.5140
      0.0685,  266.8758
      0.0686,  267.2375
      0.0687,  267.5902
      0.0688,  267.9515
      0.0689,  268.3128
      0.0690,  268.6651
      0.0691,  269.0260
      0.0692,  269.3868
      0.0693,  269.7476
      0.0694,  270.0993
      0.0695,  270.4597
      0.0696,  270.8199
      0.0697,  271.1801
      0.0698,  271.5313
      0.0699,  271.8911
      0.0700,  272.2509
      0.0701,  272.6104
      0.0702,  272.9611
      0.0703,  273.3204
      0.0704,  273.6795
      0.0705,  274.0385
      0.0706,  274.3974
      0.0707,  274.7561
      0.0708,  275.1060
      0.0709,  275.4644
      0.0710,  275.8228
      0.0711,  276.1809
      0.0712,  276.5389
      0.0713,  276.8969
      0.0714,  277.2459
      0.0715,  277.6035
      0.0716,  277.9610
      0.0717,  278.3184
      0.0718,  278.6756
      0.0719,  279.0326
      0.0720,  279.3895
      0.0721,  279.7463
      0.0722,  280.1030
      0.0723,  280.4508
      0.0724,  280.8072
      0.0725,  281.1634
      0.0726,  281.5196
      0.0727,  281.8755
      0.0728,  282.2313
      0.0729,  282.5870
      0.0730,  282.9426
      0.0731,  283.2980
      0.0732,  283.6533
      0.0733,  284.0084
      0.0734,  284.3634
      0.0735,  284.7183
      0.0736,  285.0730
      0.0737,  285.4276
      0.0738,  285.7821
      0.0739,  286.1364
      0.0740,  286.4906
      0.0741,  286.8446
      0.0742,  287.1985
      0.0743,  287.5523
      0.0744,  287.9059
      0.0745,  288.2594
      0.0746,  288.6128
      0.0747,  288.9660
      0.0748,  289.3278
      0.0749,  289.6807
      0.0750,  290.0335
      0.0751,  290.3862
      0.0752,  290.7388
      0.0753,  291.0912
      0.0754,  291.4434
      0.0755,  291.7956
      0.0756,  292.1475
      0.0757,  292.5080
      0.0758,  292.8598
      0.0759,  293.2114
      0.0760,  293.5628
      0.0761,  293.9142
      0.0762,  294.2653
      0.0763,  294.6164
      0.0764,  294.9759
      0.0765,  295.3267
      0.0766,  295.6773
      0.0767,  296.0278
      0.0768,  296.3782
      0.0769,  296.7371
      0.0770,  297.0872
      0.0771,  297.4371
      0.0772,  297.7870
      0.0773,  298.1453
      0.0774,  298.4948
      0.0775,  298.8442
      0.0776,  299.1935
      0.0777,  299.5513
      0.0778,  299.9002
      0.0779,  300.2491
      0.0780,  300.5979
      0.0781,  300.9551
      0.0782,  301.3036
      0.0783,  301.6519
      0.0784,  302.0001
      0.0785,  302.3568
      0.0786,  302.7047
      0.0787,  303.0526
      0.0788,  303.4088
      0.0789,  303.7563
      0.0790,  304.1037
      0.0791,  304.4595
      0.0792,  304.8066
      0.0793,  305.1536
      0.0794,  305.5092
      0.0795,  305.8559
      0.0796,  306.2110
      0.0797,  306.5575
      0.0798,  306.9038
      0.0799,  307.2585
      0.0800,  307.6046
      0.0801,  307.9590
      0.0802,  308.3049
      0.0803,  308.6505
      0.0804,  309.0046
      0.0805,  309.3500
      0.0806,  309.7038
      0.0807,  310.0489
      0.0808,  310.4024
      0.0809,  310.7473
      0.0810,  311.1006
      0.0811,  311.4452
      0.0812,  311.7896
      0.0813,  312.1425
      0.0814,  312.4866
      0.0815,  312.8392
      0.0816,  313.1832
      0.0817,  313.5355
      0.0818,  313.8792
      0.0819,  314.2312
      0.0820,  314.5831
      0.0821,  314.9263
      0.0822,  315.2780
      0.0823,  315.6210
      0.0824,  315.9724
      0.0825,  316.3151
      0.0826,  316.6662
      0.0827,  317.0086
      0.0828,  317.3595
      0.0829,  317.7102
      0.0830,  318.0523
      0.0831,  318.4027
      0.0832,  318.7445
      0.0833,  319.0947
      0.0834,  319.4447
      0.0835,  319.7861
